Summary
"최종 대상에서 주로 손실이 보입니다. 대상 서버, 방화벽, 서비스 구간 문제 가능성이 있습니다."
ANALYSIS_TARGET_ONLY_LOSS_OR_FILTER: 손실이 주로 최종 대상에서 보입니다. 조치: 대상 서비스/방화벽을 확인하고 보통 443 같은 서비스 포트로 TCP 연결 측정을 다시 시도하세요.
"CAUSE_FIREWALL_OR_TARGET_FILTER: 근거: 이전 Hop은 정상이나 최종 대상에서 손실 또는 응답 없음이 보입니다. 조치: 서비스 포트, 호스트 방화벽, 상위 구간 필터링을 확인하고 예상 포트로 TCP 연결 측정을 테스트하세요."
주의: 중간 Hop의 패킷 손실은 ICMP 응답 제한 또는 방화벽 정책일 수 있으므로 최종 대상 상태와 함께 판단해야 합니다.

측정시간,대상IP,구분,Hop,상태,지연시간,평균지연,최소지연,최대지연,손실률,송신,수신,실패,최근손실률,Jitter
,203.0.113.30,대상,0,TIMEOUT,,88.3,85.4,98.6,25.0,120,90,30,25.0,2.2

측정시간,대상IP,구분,Hop,성공,지연시간,상태
2026-08-21T19:55:00,203.0.113.30,대상,0,True,85.4,OK
2026-08-21T19:55:01,203.0.113.30,대상,0,True,85.8,OK
2026-08-21T19:55:02,203.0.113.30,대상,0,True,86.1,OK
2026-08-21T19:55:03,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:04,203.0.113.30,대상,0,True,86.7,OK
2026-08-21T19:55:05,203.0.113.30,대상,0,True,87.0,OK
2026-08-21T19:55:06,203.0.113.30,대상,0,True,87.4,OK
2026-08-21T19:55:07,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:08,203.0.113.30,대상,0,True,88.0,OK
2026-08-21T19:55:09,203.0.113.30,대상,0,True,88.3,OK
2026-08-21T19:55:10,203.0.113.30,대상,0,True,88.6,OK
2026-08-21T19:55:11,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:12,203.0.113.30,대상,0,True,89.3,OK
2026-08-21T19:55:13,203.0.113.30,대상,0,True,89.6,OK
